station_id,station_name,longitude,latitude
475,"Lightermans Road, Millwall",-0.020156999999999998,51.498999999999995
476,"Stebondale Street, Cubitt Town",-0.009205,51.4891
477,"Spindrift Avenue, Millwall",-0.018716,51.4911
478,"Stepney Green Station, Stepney",-0.046669999999999996,51.5219
479,"Pott Street, Bethnal Green",-0.058004999999999994,51.5272
480,"Flamborough Street, Limehouse",-0.038986599999999996,51.5129
481,"Saunders Ness Road, Cubitt Town",-0.009001,51.4871
482,"Thornfield House, Poplar",-0.02377,51.5098
483,"Albert Gardens, Stepney",-0.047784,51.5133
484,"Bromley High Street, Bow",-0.013258,51.5288
485,"Old Ford Road, Bethnal Green",-0.048017000000000004,51.5311
486,"Granby Street, Shoreditch",-0.069543,51.5256
487,"Canton Street, Poplar",-0.025626,51.5118
488,"Reardon Street, Wapping",-0.058681,51.5069
489,"Christian Street, Whitechapel",-0.06409400000000001,51.5131
490,"Pennington Street, Wapping",-0.065006,51.5086
491,"Queen Mary's, Mile End",-0.041378,51.5225
492,"The Green Bridge, Mile End",-0.03562,51.5247
494,"South Quay East, Canary Wharf",-0.016250999999999998,51.501999999999995
495,"Bow Church Station, Bow",-0.018703,51.5282
496,"Devons Road, Bow",-0.015578,51.5251
497,"Merchant Street, Bow",-0.028619,51.5265
498,"Bow Road Station, Bow",-0.025296000000000003,51.5271
499,"Furze Green, Bow",-0.021345,51.5193
500,"Ansell House, Stepney",-0.055730999999999996,51.5198
501,"Cephas Street, Bethnal Green",-0.054883,51.5226
502,"Bonner Gate, Victoria Park",-0.0495918,51.3341
503,"Cleveland Way, Stepney",-0.051394,51.5209
504,"St. John's Park, Cubitt Town",-0.009506,51.4965
